Unknown,CW:AlarmMonitorUsage,11/1/2016 5:00,11/1/2016 6:00,1
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 5:00,11/1/2016 6:00,15004
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 5:00,11/1/2016 6:00,180480
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 5:00,11/1/2016 6:00,1169812
RunInstances,USW2-C3DataTransfer-In-Bytes,11/1/2016 6:00,11/1/2016 7:00,6943
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 6:00,11/1/2016 7:00,1169916
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 6:00,11/1/2016 7:00,174755
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 6:00,11/1/2016 7:00,14924
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 6:00,11/1/2016 7:00,988
RunInstances,USW2-C3DataTransfer-Out-Bytes,11/1/2016 6:00,11/1/2016 7:00,3816
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 6:00,11/1/2016 7:00,0
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 6:00,11/1/2016 7:00,1169916
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 6:00,11/1/2016 7:00,180480
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 6:00,11/1/2016 7:00,3
LoadBalancing,USW2-DataTransfer-In-Bytes,11/1/2016 6:00,11/1/2016 7:00,80
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 6:00,11/1/2016 7:00,1
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 6:00,11/1/2016 7:00,180480
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 6:00,11/1/2016 7:00,3
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 6:00,11/1/2016 7:00,25769803776
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 6:00,11/1/2016 7:00,304
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 6:00,11/1/2016 7:00,64844
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 6:00,11/1/2016 7:00,1964
Unknown,CW:AlarmMonitorUsage,11/1/2016 6:00,11/1/2016 7:00,1
LoadBalancing,USW2-DataTransfer-In-Bytes,11/1/2016 7:00,11/1/2016 8:00,80
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 7:00,11/1/2016 8:00,3
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 7:00,11/1/2016 8:00,25769803776
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 7:00,11/1/2016 8:00,1169968
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 7:00,11/1/2016 8:00,33363
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 7:00,11/1/2016 8:00,0
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 7:00,11/1/2016 8:00,912
RunInstances,USW2-C3DataTransfer-Out-Bytes,11/1/2016 7:00,11/1/2016 8:00,1888
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 7:00,11/1/2016 8:00,1169968
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 7:00,11/1/2016 8:00,1
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 7:00,11/1/2016 8:00,180480
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 7:00,11/1/2016 8:00,87420
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 7:00,11/1/2016 8:00,3
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 7:00,11/1/2016 8:00,1906
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 7:00,11/1/2016 8:00,228
Unknown,CW:AlarmMonitorUsage,11/1/2016 7:00,11/1/2016 8:00,1
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 7:00,11/1/2016 8:00,15012
RunInstances,USW2-C3DataTransfer-In-Bytes,11/1/2016 7:00,11/1/2016 8:00,3296
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 7:00,11/1/2016 8:00,180480
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 8:00,11/1/2016 9:00,15508
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 8:00,11/1/2016 9:00,1880
Unknown,CW:AlarmMonitorUsage,11/1/2016 8:00,11/1/2016 9:00,1
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 8:00,11/1/2016 9:00,25769803776
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 8:00,11/1/2016 9:00,180972
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 8:00,11/1/2016 9:00,1170004
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 8:00,11/1/2016 9:00,1174878
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 8:00,11/1/2016 9:00,181724
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 8:00,11/1/2016 9:00,1
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 8:00,11/1/2016 9:00,3
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 8:00,11/1/2016 9:00,0
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 8:00,11/1/2016 9:00,3
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 8:00,11/1/2016 9:00,304
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 8:00,11/1/2016 9:00,36679
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 8:00,11/1/2016 9:00,988
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 8:00,11/1/2016 9:00,14880
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 9:00,11/1/2016 10:00,8351
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 9:00,11/1/2016 10:00,25769803776
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 9:00,11/1/2016 10:00,3
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 9:00,11/1/2016 10:00,1808
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 9:00,11/1/2016 10:00,1174678
Unknown,CW:AlarmMonitorUsage,11/1/2016 9:00,11/1/2016 10:00,1
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 9:00,11/1/2016 10:00,228
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 9:00,11/1/2016 10:00,3
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 9:00,11/1/2016 10:00,181016
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 9:00,11/1/2016 10:00,14880
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 9:00,11/1/2016 10:00,0
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 9:00,11/1/2016 10:00,1160168
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 9:00,11/1/2016 10:00,33794
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 9:00,11/1/2016 10:00,912
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 9:00,11/1/2016 10:00,178976
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 9:00,11/1/2016 10:00,1
LoadBalancing,USW2-DataTransfer-In-Bytes,11/1/2016 10:00,11/1/2016 11:00,160
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 10:00,11/1/2016 11:00,0
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 10:00,11/1/2016 11:00,3
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 10:00,11/1/2016 11:00,1
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 10:00,11/1/2016 11:00,28967
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 10:00,11/1/2016 11:00,228
