Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 10:00,11/1/2016 11:00,180480
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 10:00,11/1/2016 11:00,912
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 10:00,11/1/2016 11:00,14968
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 11:00,11/1/2016 12:00,1169968
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 11:00,11/1/2016 12:00,25769803776
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 11:00,11/1/2016 12:00,28033
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 11:00,11/1/2016 12:00,3
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 11:00,11/1/2016 12:00,304
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 11:00,11/1/2016 12:00,3
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 11:00,11/1/2016 12:00,1169968
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 11:00,11/1/2016 12:00,11882
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 11:00,11/1/2016 12:00,0
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 11:00,11/1/2016 12:00,1
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 11:00,11/1/2016 12:00,1842
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 11:00,11/1/2016 12:00,180480
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 11:00,11/1/2016 12:00,180480
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 11:00,11/1/2016 12:00,988
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 11:00,11/1/2016 12:00,14880
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 11:00,11/1/2016 12:00,1
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 12:00,11/1/2016 13:00,4902
AmazonEC2,RunInstances,USW2-C3DataTransfer-In-Bytes,,11/1/2016 12:00,11/1/2016 13:00,260
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 12:00,11/1/2016 13:00,180964
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 12:00,11/1/2016 13:00,15510
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 12:00,11/1/2016 13:00,1169968
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 12:00,11/1/2016 13:00,0
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 12:00,11/1/2016 13:00,1
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 12:00,11/1/2016 13:00,1
